,0,0,1,2,3,4,0,0
485,2020-05-13,0.0,14.55135438596491,36.007779578606154,40.27701232777375,64.39652173913043,70.848,60.69202
486,2020-05-14,0.0,0.0,0.0,0.0,0.0,55.628,27.178493
487,2020-05-15,0.0,0.0,0.0,0.0,0.0,45.422,-24.072084
488,2020-05-16,146.6256577163005,150.71045614035089,314.46794165316044,263.14314720812183,391.7455072463768,45.366,38.02941
489,2020-05-17,10.04285326823976,6.236294736842105,21.604667747163692,10.740536620739666,10.732753623188406,45.392,82.578804
490,2020-05-18,8.03428261459181,0.0,0.0,0.0,0.0,40.274,9.431016
491,2020-05-19,608.5969080553295,241.13672982456134,631.3364019448946,690.0794778825235,872.0362318840579,50.518,132.87291
492,2020-05-20,2811.998915107133,275.4363508771929,381.68246353322525,867.298332124728,211.971884057971,329.592,363.44638
493,2020-05-21,249.06276105234605,6.236294736842105,0.0,2.6851341551849166,0.0,327.784,231.77972
494,2020-05-22,0.0,0.0,0.0,0.0,0.0,198.596,143.58136
495,2020-05-23,4.017141307295905,9.354442105263157,4.801037277147488,0.0,0.0,125.32199999999999,57.106407
496,2020-05-24,0.0,1.0393824561403509,12.00259319286872,53.70268310369833,0.0,98.999,-9.409057
497,2020-05-25,90.38567941415785,48.850975438596485,357.67727714748787,308.7904278462654,163.67449275362318,93.861,25.874132
498,2020-05-26,0.0,0.0,0.0,0.0,0.0,77.918,88.41621
499,2020-05-27,70.29997287767833,10.393824561403507,64.81400324149108,158.42291515591006,8.049565217391304,67.2,67.3783
500,2020-05-28,0.0,1.0393824561403509,0.0,0.0,0.0,61.977999999999994,50.08228
501,2020-05-29,0.0,0.0,0.0,0.0,0.0,51.468,93.13458
502,2020-05-30,0.0,0.0,0.0,0.0,0.0,46.123,26.451826
503,2020-05-31,0.0,0.0,0.0,0.0,0.0,40.75,12.580794
504,2020-06-01,0.0,0.0,0.0,0.0,0.0,35.369,-33.54713
505,2020-06-02,0.0,0.0,0.0,0.0,8.049565217391304,29.390999999999995,29.76327
506,2020-06-03,0.0,0.0,9.602074554294976,2.6851341551849166,0.0,24.032,-21.520304
507,2020-06-04,0.0,0.0,0.0,5.370268310369833,0.0,29.465999999999998,-26.13677
508,2020-06-05,0.0,0.0,0.0,0.0,0.0,18.675,-25.56283
509,2020-06-06,0.0,0.0,0.0,0.0,0.0,29.47,-25.418158
510,2020-06-07,0.0,0.0,0.0,0.0,0.0,18.704,-30.371088
511,2020-06-08,0.0,0.0,0.0,0.0,0.0,13.428,-32.12359
512,2020-06-09,0.0,0.0,0.0,0.0,0.0,18.733,-32.4723
513,2020-06-10,0.0,0.0,0.0,0.0,0.0,13.47,-33.092148
514,2020-06-11,0.0,66.52047719298245,28.80622366288492,0.0,190.50637681159418,13.42,-30.67555
515,2020-06-12,0.0,8.315059649122807,0.0,0.0,0.0,13.528,-14.321267
516,2020-06-13,0.0,0.0,0.0,0.0,0.0,13.492,-28.580736
517,2020-06-14,0.0,0.0,0.0,0.0,0.0,8.327,-30.692764
518,2020-06-15,10.04285326823976,0.0,48.01037277147488,5.370268310369833,115.37710144927536,13.537,-29.25929
